+-------------+----------------+-------------+------------+--------------+
|     I_O     | Buffer_Size_KB | Write_Count | Read_Count | Time_Taken_s |
|  AIO_Write  |      256       |      4      |     1      |  0.015326s   |
|   AIO_Read  |       64       |      4      |     1      |   7.8e-05s   |
|    Write    |      384       |      6      |     1      |   0.0005s    |
|     Read    |       64       |      6      |     1      |    1e-05s    |
|  AIO_Write  |      384       |      6      |     1      |  0.015232s   |
|   AIO_Read  |       64       |      6      |     1      |   7.4e-05s   |
|    Write    |      512       |      8      |     1      |  0.000545s   |
|     Read    |       64       |      8      |     1      |   1.1e-05s   |
|  AIO_Write  |      512       |      8      |     1      |  0.014102s   |
|   AIO_Read  |       64       |      8      |     1      |   8.1e-05s   |
|    Write    |      640       |      10     |     1      |  0.000665s   |
|     Read    |       64       |      10     |     1      |   1.4e-05s   |
|  AIO_Write  |      640       |      10     |     1      |   0.02152s   |
|   AIO_Read  |       64       |      10     |     1      |  0.000114s   |
|    Write    |      128       |      2      |     2      |  0.000362s   |
|     Read    |      128       |      2      |     2      |   2.2e-05s   |
|  AIO_Write  |      128       |      2      |     2      |  0.015415s   |
|   AIO_Read  |      128       |      2      |     2      |  0.000141s   |
|    Write    |      256       |      4      |     2      |  0.000427s   |
|     Read    |      128       |      4      |     2      |   2.4e-05s   |
|  AIO_Write  |      256       |      4      |     2      |  0.007748s   |
|   AIO_Read  |      128       |      4      |     2      |  0.000559s   |
|    Write    |      384       |      6      |     2      |  0.000489s   |
|     Read    |      128       |      6      |     2      |   1.8e-05s   |
|  AIO_Write  |      384       |      6      |     2      |  0.021967s   |
|   AIO_Read  |      128       |      6      |     2      |  0.000151s   |
|    Write    |      512       |      8      |     2      |  0.000586s   |
|     Read    |      128       |      8      |     2      |   1.8e-05s   |
|  AIO_Write  |      512       |      8      |     2      |  0.010143s   |
|   AIO_Read  |      128       |      8      |     2      |  0.005343s   |
|    Write    |      640       |      10     |     2      |  0.000729s   |
|     Read    |      128       |      10     |     2      |   2.4e-05s   |
|  AIO_Write  |      640       |      10     |     2      |  0.011881s   |
|   AIO_Read  |      128       |      10     |     2      |  0.005325s   |
|    Write    |      256       |      4      |     4      |  0.000452s   |
|     Read    |      256       |      4      |     4      |   3.8e-05s   |
|  AIO_Write  |      256       |      4      |     4      |  0.019577s   |
|   AIO_Read  |      256       |      4      |     4      |  0.000231s   |
|    Write    |      384       |      6      |     4      |  0.000529s   |
|     Read    |      256       |      6      |     4      |    5e-05s    |
|  AIO_Write  |      384       |      6      |     4      |  0.020135s   |
|   AIO_Read  |      256       |      6      |     4      |  0.000227s   |
|    Write    |      512       |      8      |     4      |  0.000695s   |
|     Read    |      256       |      8      |     4      |   3.7e-05s   |
|  AIO_Write  |      512       |      8      |     4      |  0.021026s   |
|   AIO_Read  |      256       |      8      |     4      |  0.003331s   |
|    Write    |      640       |      10     |     4      |  0.000661s   |
|     Read    |      256       |      10     |     4      |    4e-05s    |
|  AIO_Write  |      640       |      10     |     4      |  0.016228s   |
|   AIO_Read  |      256       |      10     |     4      |  0.003741s   |
|    Write    |      384       |      6      |     6      |  0.000561s   |
|     Read    |      384       |      6      |     6      |   6.2e-05s   |
|  AIO_Write  |      384       |      6      |     6      |  0.022918s   |
|   AIO_Read  |      384       |      6      |     6      |  0.000361s   |
|    Write    |      512       |      8      |     6      |  0.000587s   |
|     Read    |      384       |      8      |     6      |   5.6e-05s   |
|  AIO_Write  |      512       |      8      |     6      |  0.013037s   |
|   AIO_Read  |      384       |      8      |     6      |  0.000384s   |
|    Write    |      640       |      10     |     6      |  0.000665s   |
|     Read    |      384       |      10     |     6      |   5.6e-05s   |
|  AIO_Write  |      640       |      10     |     6      |  0.012592s   |
|   AIO_Read  |      384       |      10     |     6      |  0.001264s   |
|    Write    |      512       |      8      |     8      |  0.000546s   |
|     Read    |      512       |      8      |     8      |   5.5e-05s   |
|  AIO_Write  |      512       |      8      |     8      |   0.01539s   |
