I_O 		Buffer_Size_KB 		Write_Count 		Read_Count 		Time_Taken_s
AIO_Read		1024		1		1		0.00047s
MMap_Write		1024		1		1		0.017698s
MMap_Read		1024		1		1		0.00138s
UMmap_Write		1024		1		1		0.009338s
UMmap_Read		1024		1		1		0.010046s
Write		2048		2		1		0.010431s
Read		1024		2		1		0.00049s
AIO_Write		2048		2		1		0.040063s
AIO_Read		1024		2		1		0.000495s
MMap_Write		2048		2		1		0.01832s
MMap_Read		1024		2		1		0.001668s
UMmap_Write		2048		2		1		0.010912s
UMmap_Read		1024		2		1		0.011572s
Write		2048		2		2		0.011759s
Read		2048		2		2		0.000707s
AIO_Write		2048		2		2		0.040451s
AIO_Read		2048		2		2		0.002206s
MMap_Write		2048		2		2		0.019595s
MMap_Read		2048		2		2		0.001916s
UMmap_Write		2048		2		2		0.008987s
UMmap_Read		2048		2		2		0.010228s
Write		4096		4		1		0.008512s
Read		1024		4		1		0.000476s
AIO_Write		4096		4		1		0.062112s
AIO_Read		1024		4		1		0.021886s
MMap_Write		4096		4		1		0.021832s
MMap_Read		1024		4		1		0.001357s
UMmap_Write		4096		4		1		0.010001s
UMmap_Read		1024		4		1		0.010414s
Write		4096		4		2		0.005922s
Read		2048		4		2		0.000593s
AIO_Write		4096		4		2		0.053348s
AIO_Read		2048		4		2		0.001106s
MMap_Write		4096		4		2		0.01942s
MMap_Read		2048		4		2		0.001672s
UMmap_Write		4096		4		2		0.018323s
UMmap_Read		2048		4		2		0.009498s
Write		4096		4		4		0.013957s
Read		4096		4		4		0.001048s
AIO_Write		4096		4		4		0.044507s
AIO_Read		4096		4		4		0.008803s
MMap_Write		4096		4		4		0.023468s
MMap_Read		4096		4		4		0.002174s
UMmap_Write		4096		4		4		0.009293s
UMmap_Read		4096		4		4		0.010483s
Write		6144		6		1		0.017704s
Read		1024		6		1		0.000459s
AIO_Write		6144		6		1		0.074593s
AIO_Read		1024		6		1		0.000337s
MMap_Write		6144		6		1		0.020187s
MMap_Read		1024		6		1		0.001396s
UMmap_Write		6144		6		1		0.010904s
UMmap_Read		1024		6		1		0.011831s
Write		6144		6		2		0.01634s
Read		2048		6		2		0.000727s
AIO_Write		6144		6		2		0.085162s
AIO_Read		2048		6		2		0.021952s
MMap_Write		6144		6		2		0.026446s
MMap_Read		2048		6		2		0.001883s
UMmap_Write		6144		6		2		0.011286s
UMmap_Read		2048		6		2		0.014348s
Write		6144		6		4		0.017301s
Read		4096		6		4		0.001422s
AIO_Write		6144		6		4		0.084697s
AIO_Read		4096		6		4		0.020166s
MMap_Write		6144		6		4		0.025211s
MMap_Read		4096		6		4		0.002726s
UMmap_Write		6144		6		4		0.01362s
UMmap_Read		4096		6		4		0.012605s
Write		6144		6		6		0.015492s
Read		6144		6		6		0.009838s
AIO_Write		6144		6		6		0.074046s
AIO_Read		6144		6		6		0.011991s
MMap_Write		6144		6		6		0.023358s
MMap_Read		6144		6		6		0.002368s
UMmap_Write		6144		6		6		0.009189s
UMmap_Read		6144		6		6		0.012355s
Write		8192		8		1		0.008205s
Read		1024		8		1		0.004403s
AIO_Write		8192		8		1		0.083455s
AIO_Read		1024		8		1		0.002721s
MMap_Write		8192		8		1		0.026765s
MMap_Read		1024		8		1		0.001527s
UMmap_Write		8192		8		1		0.010452s
UMmap_Read		1024		8		1		0.010624s
Write		8192		8		2		0.014438s
Read		2048		8		2		0.000667s
AIO_Write		8192		8		2		0.100005s
AIO_Read		2048		8		2		0.001243s
MMap_Write		8192		8		2		0.026865s
MMap_Read		2048		8		2		0.001584s
UMmap_Write		8192		8		2		0.01176s
UMmap_Read		2048		8		2		0.011979s
Write		8192		8		4		0.015866s
Read		4096		8		4		0.001051s
AIO_Write		8192		8		4		0.100091s
AIO_Read		4096		8		4		0.006799s
MMap_Write		8192		8		4		0.023669s
MMap_Read		4096		8		4		0.001695s
UMmap_Write		8192		8		4		0.019429s
UMmap_Read		4096		8		4		0.012192s
Write		8192		8		6		0.023713s
Read		6144		8		6		0.001488s
AIO_Write		8192		8		6		0.082446s
AIO_Read		6144		8		6		0.007413s
MMap_Write		8192		8		6		0.025121s
MMap_Read		6144		8		6		0.002613s
UMmap_Write		8192		8		6		0.009062s
UMmap_Read		6144		8		6		0.011928s
