I_O ,Buffer_Size_KB ,Write_Count ,Read_Count ,Time_Taken_s
AIO_Write,65536,4,4,0.658173s
AIO_Read,65536,4,4,0.09526s
Write,98304,6,4,0.4198s
Read,65536,6,4,0.045436s
AIO_Write,98304,6,4,1.09339s
AIO_Read,65536,6,4,0.097067s
Write,131072,8,4,0.415291s
Read,65536,8,4,0.036516s
AIO_Write,131072,8,4,1.22289s
AIO_Read,65536,8,4,0.097598s
Write,163840,10,4,0.473046s
Read,65536,10,4,0.03746s
AIO_Write,163840,10,4,1.4722s
AIO_Read,65536,10,4,0.118471s
Write,98304,6,6,0.383498s
Read,98304,6,6,0.050154s
AIO_Write,98304,6,6,0.93132s
AIO_Read,98304,6,6,0.147312s
Write,131072,8,6,0.460271s
Read,98304,8,6,0.044279s
AIO_Write,131072,8,6,1.20516s
AIO_Read,98304,8,6,0.149457s
Write,163840,10,6,0.534487s
Read,98304,10,6,0.074727s
AIO_Write,163840,10,6,1.83806s
AIO_Read,98304,10,6,0.179526s
Write,131072,8,8,0.311603s
Read,131072,8,8,0.08851s
AIO_Write,131072,8,8,0.949799s
AIO_Read,131072,8,8,0.116912s
Write,163840,10,8,0.275456s
Read,131072,10,8,0.03905s
AIO_Write,163840,10,8,1.39862s
AIO_Read,131072,10,8,0.255825s
Write,163840,10,10,0.377282s
Read,163840,10,10,0.100475s
AIO_Write,163840,10,10,1.91291s
AIO_Read,163840,10,10,0.351443s
MMap_Write,1,1,1,0.011977s
MMap_Read,1,1,1,7e-05s
MMap_Write,2,2,1,0.004474s
MMap_Read,1,2,1,0.000187s
MMap_Write,4,4,1,0.004357s
MMap_Read,1,4,1,0.000103s
MMap_Write,6,6,1,0.004499s
MMap_Read,1,6,1,0.000132s
MMap_Write,8,8,1,0.005485s
MMap_Read,1,8,1,0.00031s
MMap_Write,10,10,1,0.004551s
MMap_Read,1,10,1,0.000124s
MMap_Write,2,2,2,0.003635s
MMap_Read,2,2,2,0.000154s
MMap_Write,4,4,2,0.005565s
MMap_Read,2,4,2,0.000116s
MMap_Write,6,6,2,0.004462s
MMap_Read,2,6,2,8.5e-05s
MMap_Write,8,8,2,0.003995s
MMap_Read,2,8,2,0.000162s
MMap_Write,10,10,2,0.00358s
MMap_Read,2,10,2,8.8e-05s
MMap_Write,4,4,4,0.004837s
MMap_Read,4,4,4,0.000155s
MMap_Write,6,6,4,0.003299s
MMap_Read,4,6,4,0.0001s
MMap_Write,8,8,4,0.00515s
MMap_Read,4,8,4,8.1e-05s
MMap_Write,10,10,4,0.006792s
MMap_Read,4,10,4,0.000116s
MMap_Write,6,6,6,0.006157s
MMap_Read,6,6,6,0.000104s
MMap_Write,8,8,6,0.005208s
MMap_Read,6,8,6,0.000119s
MMap_Write,10,10,6,0.004606s
MMap_Read,6,10,6,0.000157s
MMap_Write,8,8,8,0.007001s
MMap_Read,8,8,8,9.6e-05s
MMap_Write,10,10,8,0.009488s
MMap_Read,8,10,8,0.000172s
MMap_Write,10,10,10,0.006497s
MMap_Read,10,10,10,0.00014s
MMap_Write,8,1,1,0.008053s
MMap_Read,8,1,1,9.5e-05s
MMap_Write,16,2,1,0.005179s
MMap_Read,8,2,1,0.000282s
MMap_Write,32,4,1,0.010036s
MMap_Read,8,4,1,0.00014s
MMap_Write,48,6,1,0.004801s
MMap_Read,8,6,1,0.000204s
MMap_Write,64,8,1,0.003635s
MMap_Read,8,8,1,0.000169s
MMap_Write,80,10,1,0.005831s
MMap_Read,8,10,1,0.000192s
MMap_Write,16,2,2,0.012181s
MMap_Read,16,2,2,8.6e-05s
MMap_Write,32,4,2,0.004705s
MMap_Read,16,4,2,0.000134s
MMap_Write,48,6,2,0.004397s
MMap_Read,16,6,2,0.000167s
MMap_Write,64,8,2,0.008489s
MMap_Read,16,8,2,0.000147s
MMap_Write,80,10,2,0.005841s
MMap_Read,16,10,2,0.00019s
MMap_Write,32,4,4,0.006314s
MMap_Read,32,4,4,0.000151s
MMap_Write,48,6,4,0.011184s
MMap_Read,32,6,4,0.000169s
MMap_Write,64,8,4,0.006126s
MMap_Read,32,8,4,0.000114s
MMap_Write,80,10,4,0.004806s
MMap_Read,32,10,4,0.000143s
MMap_Write,48,6,6,0.007026s
MMap_Read,48,6,6,0.000155s
MMap_Write,64,8,6,0.005924s
MMap_Read,48,8,6,0.00014s
MMap_Write,80,10,6,0.006165s
MMap_Read,48,10,6,0.000229s
MMap_Write,64,8,8,0.004251s
MMap_Read,64,8,8,0.000124s
MMap_Write,80,10,8,0.00491s
MMap_Read,64,10,8,0.000193s
MMap_Write,80,10,10,0.006138s
MMap_Read,80,10,10,0.00022s
MMap_Write,64,1,1,0.006151s
