I_O 		File_Size_MB		Buffer_size_MB 		Write_Count 		Read_Count 		Time_Taken_s
MMap_Write		40m		20m		2		10		0.225097s
MMap_Read		40m		20m		2		10		0.661988s
UMmap_Write		40m		20m		2		10		0.265827s
UMmap_Read		40m		20m		2		10		1.01939s
Write		40m		20m		0		15		0.350108s
Write		40m		20m		1		15		0.32098s
Total_Write		40m		20m		2		15		0.335544s
Read		40m		20m		2		0		0.320914s
Read		40m		20m		2		1		0.342306s
Read		40m		20m		2		2		0.24245s
Read		40m		20m		2		3		0.224626s
Read		40m		20m		2		4		0.221407s
Read		40m		20m		2		5		0.235301s
Read		40m		20m		2		6		0.230086s
Read		40m		20m		2		7		0.236499s
Read		40m		20m		2		8		0.230061s
Read		40m		20m		2		9		0.231528s
Read		40m		20m		2		10		0.235032s
Read		40m		20m		2		11		0.233898s
Read		40m		20m		2		12		0.235606s
Read		40m		20m		2		13		0.232514s
Read		40m		20m		2		14		0.237354s
Total_Read		300m		20m		2		15		0.245972s
AIO_Write		40m		20m		2		15		0.228871s
AIO_Read		40m		20m		2		15		0.128906s
MMap_Write		40m		20m		2		15		0.214908s
MMap_Read		40m		20m		2		15		1.06852s
UMmap_Write		40m		20m		2		15		0.319046s
UMmap_Read		40m		20m		2		15		1.37509s
Write		60m		20m		0		5		0.314532s
Write		60m		20m		1		5		0.26051s
Write		60m		20m		2		5		0.33451s
Total_Write		60m		20m		3		5		0.303184s
Read		60m		20m		3		0		0.327537s
Read		60m		20m		3		1		0.295281s
Read		60m		20m		3		2		0.228688s
Read		60m		20m		3		3		0.241498s
Read		60m		20m		3		4		0.233872s
Total_Read		100m		20m		3		5		0.265375s
AIO_Write		60m		20m		3		5		0.659985s
AIO_Read		60m		20m		3		5		0.177325s
MMap_Write		60m		20m		3		5		0.295506s
MMap_Read		60m		20m		3		5		0.299477s
UMmap_Write		60m		20m		3		5		0.234615s
UMmap_Read		60m		20m		3		5		0.567586s
Write		60m		20m		0		10		0.286403s
Write		60m		20m		1		10		0.287695s
Write		60m		20m		2		10		0.28526s
Total_Write		60m		20m		3		10		0.286453s
Read		60m		20m		3		0		0.238177s
Read		60m		20m		3		1		0.201995s
Read		60m		20m		3		2		0.237048s
Read		60m		20m		3		3		0.223548s
Read		60m		20m		3		4		0.220049s
Read		60m		20m		3		5		0.213853s
Read		60m		20m		3		6		0.234204s
Read		60m		20m		3		7		0.188577s
Read		60m		20m		3		8		0.230644s
Read		60m		20m		3		9		0.240483s
Total_Read		200m		20m		3		10		0.222858s
AIO_Write		60m		20m		3		10		0.324816s
